Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
Elway Research,A/B@@4,-0.330986732,D+0.63@@.63,21,D+
Tarrance Group,A/B@@4,-0.320549423,R+0.87@@-.87,32,R+
Field Research Corp. (Field Poll),A/B@@4,-0.318579199,R+0.55@@-.55,25,R+
Fairleigh Dickinson University,A/B@@4,-0.317499855,D+0.02@@.02,22,D+
Garin-Hart-Yang Research Group,A-@@3,-0.29691686,D+1.73@@1.73,33,D+
Western New England University,A/B@@4,-0.286294644,R+0.32@@-.32,11,R+
OH Predictive Insights,B+@@5,-0.281940069,D+0.55@@.55,22,D+
Opinion Dynamics,A/B@@4,-0.267157188,R+0.25@@-.25,34,R+
Alaska Survey Research,A/B@@4,-0.264490403,D+1.77@@1.77,16,D+
Princeton Survey Research Associates International,A/B@@4,-0.263479239,D+0.38@@.38,35,D+
Lake Research Partners/The Tarrance Group,A/B@@4,-0.261701219,R+0.60@@-.6,33,R+
Elon University,A/B@@4,-0.256331519,D+0.36@@.36,8,D+
National Research,A/B@@4,-0.246709377,R+0.35@@-.35,15,R+
Abt Associates,A/B@@4,-0.234681041,D+0.67@@.67,13,D+
Pharos Research Group,F@@16,-0.232859758,D+0.68@@.68,33,D+
University of California Berkeley,A/B@@4,-0.227667261,D+0.32@@.32,8,D+
Strategic Vision LLC,F@@16,-0.217849611,R+1.41@@-1.41,133,R+
GfK Group,A/B@@4,-0.214911513,D+0.19@@.19,21,D+
Quinnipiac University,B+@@5,-0.211051864,D+0.59@@.59,229,D+
Dittman Research,A/B@@4,-0.206114193,D+0.81@@.81,10,D+
Temple University,A/B@@4,-0.202527953,R+0.17@@-.17,6,R+
Michigan State University,A/B@@4,-0.190021492,R+0.04@@-.04,2,R+
Selzer,B+@@5,-0.181226325,D+1.27@@1.27,59,D+
Franklin & Marshall College,A/B@@4,-0.18112286,D+0.56@@.56,25,D+
KRC Research,A/B@@4,-0.17910294,D+0.07@@.07,22,D+
"Fabrizio, Lee & Associates",A/B@@4,-0.173074591,R+0.30@@-.3,11,R+
RKM Research and Communications Inc.,A/B@@4,-0.160724835,R+0.11@@-.11,35,R+
Florida Atlantic University/Mainstreet Research,B+@@5,-0.152291093,D+1.36@@1.36,25,D+
North Star Opinion Research,A/B@@4,-0.134045901,R+0.63@@-.63,13,R+
Gallup,B+@@5,-0.124398897,R+0.57@@-.57,84,R+
KAConsulting,A/B@@4,-0.11182947,R+1.67@@-1.67,12,R+
Public Religion Research Institute,A/B@@4,-0.111054167,D+0.01@@.01,1,D+
Saint Anselm College,A/B@@4,-0.110694829,R+0.28@@-.28,14,R+
Vox Populi Polling,A/B@@4,-0.10771174,D+0.33@@.33,19,D+
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),A/B@@4,-0.102842213,±0.00@@0,2,±
Wirthlin Worldwide,A/B@@4,-0.101333616,R+0.13@@-.13,4,R+
University of Arkansas,A/B@@4,-0.094020262,D+0.90@@.9,10,D+
Glengariff Group,A/B@@4,-0.093210218,D+0.84@@.84,16,D+
Belden Russonello,A/B@@4,-0.085118038,D+0.04@@.04,3,D+
Indiana University,A/B@@4,-0.084507265,D+0.02@@.02,2,D+
Knowledge Networks,A/B@@4,-0.081337081,D+0.25@@.25,4,D+
Louis Harris & Associates,A/B@@4,-0.066808979,D+0.01@@.01,2,D+
RAND (American Life Panel),A/B@@4,-0.060870595,D+0.13@@.13,4,D+
EPIC-MRA,B+@@5,-0.05207805,D+0.22@@.22,58,D+
Lake Research Partners,A/B@@4,-0.050489037,D+0.65@@.65,12,D+
University of Florida,A/B@@4,-0.045075621,D+0.03@@.03,1,D+
Ohio State University,A/B@@4,-0.041272508,R+0.04@@-.04,1,R+
Gordon S. Black Corp.,A/B@@4,-0.041121617,R+0.11@@-.11,2,R+
InsiderAdvantage,B+@@5,-0.037880544,D+0.32@@.32,208,D+
Rasmussen Reports,B+@@5,-0.025535494,R+1.35@@-1.35,797,R+
Pew Research Center,A/B@@4,-0.023128154,D+0.63@@.63,25,D+
Public Policy Polling,B+@@5,-0.011931952,D+0.88@@.88,468,D+
Pan Atlantic Research,A/B@@4,-0.010073253,D+0.61@@.61,17,D+
Polling Company/Global Strategy Group,A/B@@4,-0.003903519,R+0.16@@-.16,4,R+
GQR Research/Public Opinion Strategies,A/B@@4,-0.003194574,D+0.10@@.1,1,D+
Harvard University,A/B@@4,-0.001315252,D+0.08@@.08,1,D+
Fleming & Associates,B/C@@8,0.008027585,R+0.48@@-.48,18,R+
RRH Elections,B/C@@8,0.009615396,R+0.26@@-.26,15,R+
WPA Intelligence,B/C@@8,0.01747805,R+0.80@@-.8,20,R+
Florida Atlantic University,B/C@@8,0.027620762,D+0.51@@.51,9,D+
Leger,B/C@@8,0.027786429,D+0.25@@.25,13,D+
University of Cincinnati (Ohio Poll),B/C@@8,0.046737424,R+1.09@@-1.09,39,R+
SEA Polling & Strategic Design,B/C@@8,0.052361912,D+0.45@@.45,14,D+
Harper Polling,B/C@@8,0.053937033,D+0.39@@.39,14,D+
Research Co.,B@@6,0.061249874,D+1.43@@1.43,85,D+
Harstad Strategic Research,B/C@@8,0.069718104,D+0.49@@.49,11,D+
Blueprint Polling,B/C@@8,0.072184213,R+0.52@@-.52,8,R+
Praecones Analytica,B/C@@8,0.074045239,R+0.11@@-.11,5,R+
East Carolina University,B/C@@8,0.07461363,D+1.32@@1.32,18,D+
New England College Polling Center,B/C@@8,0.076088796,R+1.03@@-1.03,19,R+
Ciruli Associates,B/C@@8,0.079479941,R+0.53@@-.53,20,R+
Clemson University,B/C@@8,0.07964434,D+0.02@@.02,8,D+
J.L. Partners,B/C@@8,0.086488072,D+0.39@@.39,10,D+
Mellman Group,B/C@@8,0.092452025,D+1.69@@1.69,28,D+
St. Norbert College,B/C@@8,0.094796272,R+0.01@@-.01,12,R+
Strategies 360,B/C@@8,0.098985083,D+1.15@@1.15,9,D+
Blum & Weprin Associates,B/C@@8,0.103208583,R+0.55@@-.55,19,R+
Lee Business School (University of Nevada Las Vegas),B/C@@8,0.1038198,D+0.14@@.14,5,D+
YouGov,B@@6,0.111421255,D+1.08@@1.08,521,D+
Ward Research,B/C@@8,0.114838622,R+0.33@@-.33,15,R+
Landmark Communications/Rosetta Stone Communications,B/C@@8,0.116809815,D+1.05@@1.05,11,D+
Middle Tennessee State University,B/C@@8,0.136035743,D+0.43@@.43,5,D+
Civiqs,B@@6,0.141379948,D+2.83@@2.83,43,D+
University of Georgia,B/C@@8,0.143310446,D+0.05@@.05,7,D+
Research 2000,F@@16,0.145563653,D+1.19@@1.19,278,D+
Clarity Campaign Labs,B/C@@8,0.148082405,D+1.23@@1.23,16,D+
Yankelovich Partners Inc.,B/C@@8,0.164036976,R+0.03@@-.03,7,R+
Trafalgar Group,B@@6,0.176564945,R+1.88@@-1.88,143,R+
Wick,B/C@@8,0.179394824,R+1.19@@-1.19,16,R+
Keating Research,B/C@@8,0.191566543,D+0.17@@.17,6,D+
RMG Research,B@@6,0.196917325,D+3.25@@3.25,28,D+
Ipsos,B@@6,0.198494316,D+1.89@@1.89,116,D+
co/efficient,B@@6,0.201790327,R+2.69@@-2.69,24,R+
Redfield & Wilton Strategies,B@@6,0.207544534,D+2.28@@2.28,45,D+
Starboard Communications,B/C@@8,0.214605883,D+0.29@@.29,4,D+
Strategic National,B/C@@8,0.236931181,D+0.34@@.34,4,D+
GBAO,B/C@@8,0.239041289,D+1.36@@1.36,14,D+
Big Village,B@@6,0.242615407,D+0.22@@.22,107,D+
Pasquines,B/C@@8,0.24959576,D+0.06@@.06,4,D+
Ragnar Research Partners,B/C@@8,0.25306283,D+0.24@@.24,3,D+
RBI Strategies & Research,B/C@@8,0.260802951,D+0.28@@.28,4,D+
Impact Research,B/C@@8,0.26538034,D+1.32@@1.32,22,D+
CVOTER,B/C@@8,0.270224868,R+0.19@@-.19,6,R+
Patriot Polling,B@@6,0.284480032,R+0.40@@-.4,22,R+
Market Shares Corp.,B/C@@8,0.290630412,R+0.90@@-.9,25,R+
Benenson Strategy Group,B/C@@8,0.291438531,D+1.04@@1.04,12,D+
Spry Strategies,B/C@@8,0.292625898,R+0.35@@-.35,5,R+
ROI Rocket,B/C@@8,0.293733464,±0.00@@0,3,±
Cardinal Point Analytics (CardinalGPS),B/C@@8,0.293733464,R+0.28@@-.28,3,R+
Optimus Analytics,B/C@@8,0.294794186,R+0.48@@-.48,17,R+
State Navigate,B/C@@8,0.306554813,R+0.25@@-.25,2,R+
University of South Alabama,B/C@@8,0.3110027,R+0.33@@-.33,9,R+
Lucid,B/C@@8,0.311552691,D+1.67@@1.67,25,D+
Frederick Polls,B/C@@8,0.326647822,D+0.55@@.55,8,D+
Axis Research,B/C@@8,0.327423123,R+0.10@@-.1,2,R+
"Fabrizio, Lee & Associates/GBAO",B/C@@8,0.327423123,R+0.11@@-.11,2,R+
Edgewater Research/My People Vote,B/C@@8,0.333373323,R+0.05@@-.05,3,R+
Kiley & Company,B/C@@8,0.33534881,D+0.31@@.31,5,D+
University of Washington,B/C@@8,0.336714676,D+0.04@@.04,9,D+
Maine People's Resource Center,B/C@@8,0.344109249,D+0.10@@.1,14,D+
RT Strategies,B/C@@8,0.346231898,D+0.84@@.84,45,D+
David Binder Research,B/C@@8,0.351278931,D+0.07@@.07,3,D+
Louisville Courier-Journal,B/C@@8,0.355783677,R+0.17@@-.17,10,R+
Ogden & Fry,B/C@@8,0.356025316,R+0.01@@-.01,3,R+
Riley Research Associates,B/C@@8,0.358818092,R+0.06@@-.06,7,R+
Market Research Institute Inc.,B/C@@8,0.359515573,D+0.08@@.08,11,D+
BSP Research/Shaw & Company Research,B/C@@8,0.365678413,R+0.07@@-.07,2,R+
Schoen Cooperman Research,B/C@@8,0.375608744,R+0.02@@-.02,2,R+
Gravis Marketing/Kaplan Strategies,B-@@7,0.379372429,D+1.30@@1.3,158,D+
Iowa State University,B/C@@8,0.389732428,±0.00@@0,3,±
DFM Research,B/C@@8,0.389756942,D+1.22@@1.22,10,D+
Tufts University,B/C@@8,0.393432871,D+0.37@@.37,3,D+
McKeon & Associates,B/C@@8,0.393910665,D+0.15@@.15,3,D+
Financial Dynamics,B/C@@8,0.394036045,R+0.34@@-.34,15,R+
Latino Decisions,B/C@@8,0.39962058,D+0.17@@.17,2,D+
Alabama State University,B/C@@8,0.399950808,±0.00@@0,4,±
Richard Day Research,B/C@@8,0.400339422,R+0.35@@-.35,11,R+
Tulchin Research,B/C@@8,0.400589111,R+0.06@@-.06,3,R+
Keating Research/OnSight Public Affairs/Melanson,B/C@@8,0.415635609,R+0.09@@-.09,3,R+
BK Strategies,B/C@@8,0.426904839,D+0.31@@.31,3,D+
University of New Orleans,B/C@@8,0.427213389,D+0.27@@.27,13,D+
Orion Strategies,B/C@@8,0.427694514,D+0.08@@.08,4,D+
Cherry Communications,B/C@@8,0.428321295,D+0.36@@.36,8,D+
Zogby Analytics,B-@@7,0.431861082,R+0.59@@-.59,495,R+
Winthrop University,B/C@@8,0.431959911,D+0.00@@0,3,D+
John Zogby Strategies,B/C@@8,0.432760135,D+0.39@@.39,4,D+
GS Strategy Group,B/C@@8,0.434796404,R+0.33@@-.33,2,R+
DCCC,B/C@@8,0.435253754,D+1.60@@1.6,10,D+
JMC Analytics,B/C@@8,0.436043162,R+0.65@@-.65,13,R+
OpinionWorks,B/C@@8,0.43616919,R+0.48@@-.48,7,R+
IVR Polls,B/C@@8,0.438675931,±0.00@@0,4,±
Quantus Insights,B/C@@8,0.442653832,R+1.05@@-1.05,9,R+
OnPoint,B/C@@8,0.444717145,D+0.02@@.02,6,D+
Focaldata,B/C@@8,0.446108516,D+1.30@@1.3,9,D+
MSR Group,B/C@@8,0.446181233,D+0.08@@.08,6,D+
Marshall Marketing,B/C@@8,0.448692805,R+0.16@@-.16,4,R+
Google Consumer Surveys,B/C@@8,0.449305402,R+0.08@@-.08,24,R+
Southern Media & Opinion Research,B/C@@8,0.451230029,D+0.07@@.07,7,D+
Wiese Research Associates,B/C@@8,0.452853954,D+0.74@@.74,7,D+
High Point University,B/C@@8,0.453829728,D+0.00@@0,5,D+
Master Image,B/C@@8,0.456116202,±0.00@@0,2,±
Douglas Fulmer & Associates,B/C@@8,0.456116202,±0.00@@0,2,±
Meeting Street Insights,B/C@@8,0.457944351,D+0.55@@.55,5,D+
AYTM,B/C@@8,0.458798161,D+0.52@@.52,4,D+
Global Strategy Group,B/C@@8,0.459689494,D+1.61@@1.61,26,D+
Missouri State University,B/C@@8,0.461173335,D+0.23@@.23,3,D+
Dan Jones & Associates,B/C@@8,0.46217034,D+0.76@@.76,40,D+
The Washington Post/George Mason University Schar School of Policy and Government,B/C@@8,0.462840274,R+0.19@@-.19,1,R+
Northern Arizona University,B/C@@8,0.467115368,R+0.18@@-.18,4,R+
Harris Insights & Analytics,B-@@7,0.46731684,R+1.05@@-1.05,193,R+
MWR Strategies,B/C@@8,0.469295382,R+0.03@@-.03,2,R+
PSB Research,B/C@@8,0.47078939,D+1.89@@1.89,19,D+
Potomac Incorporated,B/C@@8,0.472520404,R+0.23@@-.23,8,R+
Torchlight Strategies,B/C@@8,0.474442723,±0.00@@0,1,±
Gotham Polling & Analytics,B/C@@8,0.474442723,R+0.17@@-.17,1,R+
M3 Strategies,B/C@@8,0.474442723,R+0.16@@-.16,1,R+
Basswood Research,B/C@@8,0.475254669,R+0.16@@-.16,4,R+
University of Wisconsin (Madison),B/C@@8,0.477912322,D+0.53@@.53,8,D+
APC Research,B/C@@8,0.479408812,D+0.13@@.13,2,D+
Voter/Consumer Research,B/C@@8,0.483072269,R+0.07@@-.07,8,R+
CJ&N,B/C@@8,0.484934307,D+0.07@@.07,3,D+
Stetson University,B/C@@8,0.487103543,D+1.37@@1.37,4,D+
El Nuevo DÃ­a/The Research Office,B/C@@8,0.487678625,±0.00@@0,4,±
Moore Information Group,B/C@@8,0.491963833,R+1.56@@-1.56,18,R+
Fabrizio Lee & Associates/Impact Research,B/C@@8,0.495500188,D+0.03@@.03,1,D+
Ethridge & Associates LLC,B/C@@8,0.495591637,R+0.04@@-.04,6,R+
CWS Research,B/C@@8,0.496190311,R+0.00@@0,1,R+
MFour Mobile Research,B/C@@8,0.499856149,R+0.13@@-.13,2,R+
The Tyson Group,B/C@@8,0.50014242,D+0.09@@.09,14,D+
Big Ten,B/C@@8,0.501552184,D+0.63@@.63,10,D+
Montana State University Billings,B/C@@8,0.503817817,D+1.62@@1.62,11,D+
Slingshot Strategies,B/C@@8,0.506027874,D+0.35@@.35,2,D+
Market Decisions Research,B/C@@8,0.506160672,R+0.05@@-.05,4,R+
Big Data Poll,F@@16,0.507918357,R+0.34@@-.34,6,R+
University of Massachusetts (Amherst),B/C@@8,0.511573899,R+0.12@@-.12,11,R+
Park Street Strategies,B/C@@8,0.513957541,±0.00@@0,1,±
Data Targeting,B/C@@8,0.513957541,R+0.16@@-.16,1,R+
NewsNation,B/C@@8,0.514137503,D+0.07@@.07,1,D+
American Viewpoint,B/C@@8,0.514230178,R+0.54@@-.54,9,R+
Blumenthal Research Daily,F@@16,0.514364604,R+0.12@@-.12,2,R+
Magellan Strategies,B/C@@8,0.51469958,R+0.38@@-.38,18,R+
Braun Research,B/C@@8,0.519954598,D+0.91@@.91,6,D+
Virginia Commonwealth University,B/C@@8,0.522403914,D+0.05@@.05,8,D+
Bendixen & Amandi International,B/C@@8,0.523394199,D+0.09@@.09,2,D+
Strategic Research Associates,B/C@@8,0.527191108,D+0.30@@.3,5,D+
Global Strategy Group/National Research (Philadelphia Inquirer),B/C@@8,0.528208129,R+0.23@@-.23,4,R+
Mason Strategies,B/C@@8,0.530107859,D+0.07@@.07,1,D+
1892 Polling,B/C@@8,0.530107859,R+0.02@@-.02,1,R+
Rethink Priorities,F@@16,0.531255771,D+0.29@@.29,2,D+
Pacific Market Research,B/C@@8,0.532296201,R+0.50@@-.5,2,R+
Targoz Market Research,B-@@7,0.532809742,D+1.31@@1.31,26,D+
Scripps Howard,B/C@@8,0.536399952,R+0.11@@-.11,5,R+
The Polling Company Inc./National Research Inc.,B/C@@8,0.537402319,R+0.09@@-.09,1,R+
CSP Polling,F@@16,0.537402319,D+0.08@@.08,1,D+
Forward Strategies,B/C@@8,0.537885788,D+0.05@@.05,2,D+
National Public Affairs,B/C@@8,0.53792554,D+0.01@@.01,1,D+
Personal Marketing Research,B/C@@8,0.538226379,±0.00@@0,3,±
University of Houston,B/C@@8,0.544218117,±0.00@@0,1,±
Targeted Persuasion,B/C@@8,0.544218117,±0.00@@0,1,±
Singularis Group,B/C@@8,0.544218117,R+0.02@@-.02,1,R+
IMGE Insights,B/C@@8,0.545459263,R+0.40@@-.4,2,R+
KG Polling,F@@16,0.547135961,D+0.15@@.15,2,D+
"Drake Research & Strategy, Inc.",B/C@@8,0.548137073,R+0.01@@-.01,8,R+
Purple Strategies,B/C@@8,0.550974826,R+0.26@@-.26,4,R+
University of Wisconsin-Milwaukee,B/C@@8,0.551303604,R+0.05@@-.05,3,R+
Jim Meader (KELOLAND-TV),B/C@@8,0.55300294,D+0.19@@.19,4,D+
Columbus Dispatch,B/C@@8,0.554310293,D+0.80@@.8,22,D+
Washington College,B/C@@8,0.554729476,D+0.23@@.23,1,D+
Richmond Times-Dispatch,B/C@@8,0.554973672,D+0.12@@.12,4,D+
Behavior Research Center (Rocky Mountain Poll),B/C@@8,0.555883713,D+0.34@@.34,7,D+
University of Southern California,B/C@@8,0.555918079,D+1.27@@1.27,13,D+
Mercyhurst University,B/C@@8,0.556529704,R+0.02@@-.02,1,R+
Odney,B/C@@8,0.556529704,D+0.05@@.05,1,D+
Montgomery Research,B/C@@8,0.556979215,R+0.24@@-.24,1,R+
Remington Research Group,B-@@7,0.557313625,D+1.28@@1.28,55,D+
Thirty-Ninth Street Strategies,B/C@@8,0.557465484,R+0.07@@-.07,1,R+
University of Tennessee,B/C@@8,0.55906712,R+0.07@@-.07,2,R+
Diamond State Consulting Group,B/C@@8,0.560031358,D+0.10@@.1,1,D+
GreatBlue Research,B/C@@8,0.560771161,R+0.02@@-.02,2,R+
Market Solutions Group,B/C@@8,0.563364698,R+0.00@@0,4,R+
Frank N. Magid Associates Inc.,B/C@@8,0.564499122,D+0.34@@.34,5,D+
Reconnect Research/Probolsky Research,B/C@@8,0.564699015,R+0.13@@-.13,2,R+
Myers Research & Strategic Services,B/C@@8,0.566045724,D+0.11@@.11,2,D+
University of New Hampshire,B-@@7,0.566513652,D+2.05@@2.05,150,D+
Garin-Hart-Yang/Global Strategy Group,B/C@@8,0.567259503,R+0.02@@-.02,1,R+
Valley Research,B/C@@8,0.567586036,D+0.32@@.32,8,D+
Quest Research Group,B/C@@8,0.568028105,R+0.10@@-.1,5,R+
West Chester University,B/C@@8,0.568760083,D+0.08@@.08,7,D+
Manhattanville College,B/C@@8,0.569453013,R+0.13@@-.13,3,R+
The Polling Company Inc.,B/C@@8,0.569750341,R+0.85@@-.85,7,R+
DHM Research,B/C@@8,0.570135695,R+0.07@@-.07,14,R+
The Citadel,B/C@@8,0.571920863,D+0.30@@.3,3,D+
Franklin Pierce University,B/C@@8,0.572064522,D+0.58@@.58,17,D+
Seven Letter Insight,B/C@@8,0.573525712,D+0.12@@.12,1,D+
JMC Analytics/Bold Blue Campaigns,B/C@@8,0.574049384,R+0.84@@-.84,5,R+
Baruch College Survey Research,B/C@@8,0.57531207,±0.00@@0,2,±
Crantford Research,B/C@@8,0.576601334,D+0.05@@.05,1,D+
Rivercity Polling,B/C@@8,0.576601334,R+0.13@@-.13,1,R+
Lincoln Institute,B/C@@8,0.578524348,R+0.08@@-.08,2,R+
Centre College,B/C@@8,0.581242567,D+0.12@@.12,1,D+
Victory Research,B/C@@8,0.581616633,D+0.26@@.26,11,D+
Florida International University/Univision,B/C@@8,0.584727615,D+0.03@@.03,1,D+
Penta,B/C@@8,0.585415441,R+0.13@@-.13,1,R+
Becker Institute,B/C@@8,0.589554838,D+0.27@@.27,5,D+
War Room Logistics,B/C@@8,0.590622871,±0.00@@0,1,±
Zimmerman & Associates/Marketing Intelligence,B/C@@8,0.590995862,D+0.15@@.15,3,D+
Cromer Group,B/C@@8,0.596939476,R+0.06@@-.06,1,R+
Canisius College,B/C@@8,0.597926786,±0.00@@0,1,±
Central Surveys Inc.,B/C@@8,0.597926786,D+0.02@@.02,1,D+
Morningside College,B/C@@8,0.599075007,±0.00@@0,1,±
OurProgress (The Progress Campaign),F@@16,0.599771221,±0.00@@0,1,±
BIGresearch,B/C@@8,0.600684386,R+0.02@@-.02,1,R+
Wood Communications Group,B/C@@8,0.600694646,D+0.02@@.02,1,D+
Escalent,B/C@@8,0.603253412,R+0.01@@-.01,1,R+
Cooper & Secrest,B/C@@8,0.603253412,R+0.03@@-.03,1,R+
Analytical Group,B/C@@8,0.605981465,D+0.04@@.04,1,D+
Minneapolis Star Tribune,B/C@@8,0.606125445,D+0.62@@.62,14,D+
Rossman Group,B/C@@8,0.607524378,D+0.08@@.08,1,D+
Dynamics Marketing,B/C@@8,0.607875371,D+0.03@@.03,1,D+
Vox Populi Communications,B/C@@8,0.607875371,±0.00@@0,1,±
Diversified Research Inc,B/C@@8,0.607875371,R+0.05@@-.05,1,R+
QEV Analytics,B/C@@8,0.611049619,±0.00@@0,1,±
Wick Communications,B/C@@8,0.611826579,D+0.04@@.04,1,D+
"Lauer, Lalley, Victoria",B/C@@8,0.611884144,R+0.01@@-.01,1,R+
Southeastern Louisiana University,B/C@@8,0.612929484,D+0.07@@.07,8,D+
Market Trends Pacific,B/C@@8,0.613648515,D+0.05@@.05,1,D+
CallFire,B/C@@8,0.614415406,R+0.34@@-.34,4,R+
HighGround Inc.,B/C@@8,0.615301155,R+0.09@@-.09,6,R+
Triumph Campaigns,B/C@@8,0.616581681,R+0.12@@-.12,1,R+
Neighborhood Research and Media,B/C@@8,0.617901613,R+0.04@@-.04,3,R+
Paradigm,B/C@@8,0.619087059,D+0.37@@.37,2,D+
20/20 Insight,B/C@@8,0.621108148,D+0.41@@.41,8,D+
Victoria Research & Consulting,B/C@@8,0.62220765,D+0.10@@.1,1,D+
Jorge BenÃ­tez,B/C@@8,0.625111381,±0.00@@0,4,±
Strategy Research,B/C@@8,0.625401817,R+0.39@@-.39,2,R+
Iona University,B/C@@8,0.625727469,D+0.09@@.09,1,D+
ASA Marketing Group,B/C@@8,0.626237545,D+0.08@@.08,1,D+
Dartmouth College,B/C@@8,0.626858113,±0.00@@0,3,±
African American Research Collaborative,B/C@@8,0.627545431,D+0.12@@.12,1,D+
New Mexico State University,B/C@@8,0.628027139,±0.00@@0,1,±
NRECA Market Research,B/C@@8,0.628319523,D+0.05@@.05,1,D+
TargetSmart,B/C@@8,0.628752113,D+0.45@@.45,3,D+
Probolsky Research,B/C@@8,0.629075517,R+0.53@@-.53,3,R+
Clarus Research Group,B/C@@8,0.630560366,D+0.23@@.23,3,D+
Beacon Research,B/C@@8,0.632387477,±0.00@@0,5,±
Old Dominion University,B/C@@8,0.635238331,D+0.11@@.11,1,D+
West Virginia Research Center,B/C@@8,0.635560541,D+0.12@@.12,2,D+
Deltapoll,B/C@@8,0.636001191,D+0.24@@.24,1,D+
Rice University,B/C@@8,0.63663137,D+0.13@@.13,2,D+
Alloy Analytics,B/C@@8,0.637052596,R+0.21@@-.21,1,R+
Illinois Wesleyan University,B/C@@8,0.637704327,R+0.25@@-.25,3,R+
Multi-Quest International,B/C@@8,0.638519199,R+0.00@@0,4,R+
Independent Market Research,B/C@@8,0.63922546,D+0.09@@.09,2,D+
Dixie Strategies,B/C@@8,0.639513007,R+0.90@@-.9,11,R+
Aspen Media & Market Research,B/C@@8,0.642707992,R+0.00@@0,3,R+
Marketing Research Institute,B/C@@8,0.643723153,R+0.08@@-.08,1,R+
The Florida Poll,B/C@@8,0.643856973,D+0.21@@.21,5,D+
Dynata,B/C@@8,0.644920131,±0.00@@0,2,±
Merrill Poll,B/C@@8,0.644993546,±0.00@@0,2,±
SmithJohnson Opinion Research,B/C@@8,0.646452011,R+0.15@@-.15,1,R+
Global Strategy Group/GBAO (Navigator Research),B/C@@8,0.646978216,D+0.82@@.82,4,D+
Harper Polling/Clarity Campaign Labs,B/C@@8,0.650957028,D+0.26@@.26,1,D+
TMR Research,B/C@@8,0.654818072,D+0.13@@.13,2,D+
CrossTarget,B/C@@8,0.655094233,R+0.30@@-.3,2,R+
Hellenthal & Associates,B/C@@8,0.656502154,D+0.29@@.29,5,D+
